lead_id,source,campaign,region,role,prior_course_interest,page_views,last_touch_days,recency_days,email_opens,webinar_attended,form_submissions,prior_purchases,region_engagement_score,time_spent_minutes,label_conversion,label_class
LEAD-101769,Organic,Webinar2025,Australia,Intern,Leadership; Strategy,15,20,18,0,Yes,5,1,27.78,230,0,Cold
LEAD-100687,Facebook,Webinar2025,Europe,Intern,Leadership; Marketing,19,10,9,6,Yes,2,1,84.46,106,1,Cold
LEAD-101240,LinkedIn,Summer2025,Europe,Director,Strategy; Data Science; Machine Learning,28,12,25,6,Yes,5,1,66.41,295,0,Cold
LEAD-100728,Facebook,Spring2025,Europe,VP,Strategy; Machine Learning,30,6,0,6,No,2,3,64.25,57,1,Hot
LEAD-100842,LinkedIn,Webinar2025,Europe,Intern,Strategy; Leadership,5,19,1,5,No,4,0,42.15,32,0,Cold
LEAD-101550,Facebook,Spring2025,North America,Analyst,Strategy; Machine Learning; Marketing,15,8,20,2,No,3,0,23.97,271,0,Cold
LEAD-101557,Google Ads,Spring2025,Europe,Intern,Leadership,23,18,21,2,No,5,1,29.55,112,0,Warm
LEAD-101606,Google Ads,Summer2025,Australia,Intern,Marketing; Data Science,6,12,29,2,Yes,4,0,30.85,219,0,Cold
LEAD-101555,Referral,Webinar2025,North America,Manager,Leadership,4,14,17,0,No,5,0,39.24,236,0,Cold
LEAD-100437,LinkedIn,Summer2025,Asia,VP,Strategy; Marketing; Machine Learning,28,1,24,8,Yes,3,0,87.99,222,1,Warm
LEAD-100675,Google Ads,Spring2025,Europe,Director,Leadership; Strategy; Machine Learning,35,6,12,4,No,0,3,51.18,256,1,Hot
LEAD-100431,Organic,Summer2025,Asia,VP,Marketing,38,4,12,5,No,0,1,59.76,4,1,Warm
LEAD-101524,Organic,Webinar2025,Australia,Analyst,Marketing; Strategy; Machine Learning,19,14,23,4,Yes,1,0,70.78,76,0,Warm
LEAD-100278,Google Ads,Spring2025,Asia,Manager,Machine Learning; Data Science,16,9,24,7,Yes,0,3,50.54,161,1,Hot
LEAD-101211,Referral,Summer2025,North America,Analyst,Marketing; Data Science,17,13,16,4,No,3,0,37.06,210,0,Warm
LEAD-100996,Facebook,Spring2025,Australia,Intern,Machine Learning; Marketing,13,14,12,5,No,0,1,48.36,217,0,Cold
LEAD-100909,Facebook,Spring2025,Australia,Director,Data Science,19,14,13,7,No,1,0,77.18,83,0,Cold
LEAD-101993,Referral,Webinar2025,North America,Manager,Leadership; Machine Learning,24,10,18,1,Yes,3,0,37.14,280,0,Cold
LEAD-100176,Facebook,Summer2025,North America,Director,Marketing,13,4,30,7,No,1,0,89.55,1,1,Warm
LEAD-101650,Google Ads,Webinar2025,Asia,Director,Machine Learning; Leadership,13,6,14,5,No,2,1,52.72,21,0,Warm
LEAD-101725,Organic,Summer2025,Europe,Analyst,Marketing; Machine Learning; Data Science,19,9,4,6,No,2,1,43.7,14,0,Warm
LEAD-100882,Organic,Spring2025,North America,VP,Machine Learning,7,17,17,7,No,4,1,39.17,96,0,Hot
LEAD-100034,Facebook,Webinar2025,Australia,VP,Strategy,17,7,0,5,No,3,3,52.85,195,1,Hot
LEAD-101492,LinkedIn,Summer2025,Europe,VP,Leadership; Machine Learning,26,13,20,5,No,3,1,72.47,123,0,Cold
LEAD-101257,Organic,Webinar2025,Australia,VP,Machine Learning,15,5,2,6,No,5,0,41.47,263,0,Warm
LEAD-100861,Organic,Spring2025,Asia,VP,Marketing,22,19,4,7,Yes,5,1,38.6,149,0,Cold
LEAD-101637,Google Ads,Webinar2025,Australia,Analyst,Data Science; Marketing; Strategy,24,20,10,3,No,2,1,53.86,263,0,Cold
LEAD-100716,Organic,Spring2025,Asia,Intern,Data Science; Strategy; Leadership,36,10,2,8,Yes,5,2,61.99,34,1,Warm
LEAD-100014,LinkedIn,Summer2025,Australia,Analyst,Machine Learning; Data Science,22,0,13,11,No,3,3,82.73,81,1,Hot
LEAD-101344,LinkedIn,Spring2025,North America,Analyst,Machine Learning; Leadership,18,16,30,4,No,3,0,27.53,300,0,Warm
LEAD-100799,Referral,Summer2025,Asia,Analyst,Leadership; Strategy,28,10,26,9,Yes,1,0,84.86,215,1,Hot
LEAD-101686,Facebook,Spring2025,Europe,Intern,Marketing; Data Science,25,7,13,4,No,4,0,63.29,43,0,Warm
LEAD-101470,LinkedIn,Webinar2025,Asia,Manager,Leadership; Marketing,20,14,10,0,Yes,5,0,64.68,142,0,Hot
LEAD-100471,Organic,Summer2025,Asia,Intern,Strategy; Leadership,14,2,10,8,Yes,4,1,79.6,256,1,Hot
LEAD-101003,Google Ads,Spring2025,Asia,VP,Strategy; Leadership,21,20,14,5,No,2,1,29.5,138,0,Warm
LEAD-100117,Organic,Summer2025,Australia,Intern,Machine Learning; Data Science; Leadership,22,4,8,8,No,0,2,86.13,137,1,Hot
LEAD-100710,Referral,Summer2025,Europe,Analyst,Machine Learning,28,5,5,6,No,5,3,65.19,296,1,Hot
LEAD-101366,Referral,Webinar2025,North America,Analyst,Data Science,25,20,25,0,No,2,1,54.48,14,0,Cold
LEAD-100333,Facebook,Webinar2025,Australia,Manager,Machine Learning; Marketing; Strategy,38,7,0,4,No,1,2,45.56,81,1,Cold
LEAD-101935,Referral,Summer2025,Asia,Manager,Machine Learning; Data Science,8,17,2,6,Yes,4,1,52.81,108,0,Cold
LEAD-101987,Facebook,Summer2025,Europe,Intern,Strategy,10,11,13,7,Yes,4,1,50.75,237,0,Warm
LEAD-100326,Organic,Webinar2025,North America,Manager,Machine Learning,37,10,0,11,No,3,0,57.6,53,1,Warm
LEAD-101245,Facebook,Webinar2025,Asia,Analyst,Data Science; Leadership,23,5,21,0,No,1,1,66.43,230,0,Warm
LEAD-100521,Organic,Spring2025,Asia,Intern,Leadership; Machine Learning,38,2,9,9,Yes,2,3,65.16,293,1,Warm
LEAD-100110,LinkedIn,Webinar2025,North America,Director,Machine Learning; Leadership; Strategy,17,9,28,5,No,1,2,73.3,211,1,Cold
LEAD-101593,Google Ads,Webinar2025,Asia,Director,Machine Learning,19,15,18,1,No,2,1,52.18,165,0,Warm
LEAD-100963,Google Ads,Spring2025,Europe,Director,Machine Learning,28,9,8,1,Yes,3,0,25.07,194,0,Cold
LEAD-100297,Google Ads,Spring2025,Asia,VP,Strategy; Marketing,18,7,12,2,No,1,3,64.82,34,1,Hot
LEAD-100858,Referral,Webinar2025,Europe,Intern,Data Science; Leadership,30,19,19,6,No,4,1,53.56,231,0,Warm
LEAD-101842,Google Ads,Webinar2025,North America,Director,Leadership; Data Science; Marketing,20,7,18,0,Yes,3,0,22.71,295,0,Hot
LEAD-100649,LinkedIn,Webinar2025,North America,Director,Data Science; Leadership; Strategy,18,6,13,11,Yes,4,3,75.3,85,1,Hot
LEAD-101297,Facebook,Webinar2025,North America,VP,Marketing,5,15,1,4,Yes,5,0,50.53,204,0,Warm
LEAD-100906,Organic,Spring2025,Asia,VP,Strategy; Marketing; Leadership,7,19,5,8,Yes,3,1,54.19,49,0,Cold
LEAD-101361,Google Ads,Webinar2025,Europe,VP,Machine Learning; Strategy,7,14,28,1,Yes,0,1,35.66,77,0,Cold
LEAD-100188,LinkedIn,Spring2025,Europe,Intern,Machine Learning; Leadership; Data Science,24,8,9,9,No,3,2,97.54,153,1,Warm
LEAD-101567,LinkedIn,Summer2025,Europe,Analyst,Strategy; Leadership,28,8,22,8,Yes,3,0,50.7,181,0,Cold
LEAD-101401,Referral,Webinar2025,Australia,Analyst,Machine Learning; Data Science; Leadership,23,5,2,0,Yes,1,0,68.83,107,0,Hot
LEAD-101268,Organic,Spring2025,Australia,Intern,Strategy,22,18,29,4,Yes,1,0,57.48,190,0,Warm
LEAD-100121,Organic,Spring2025,Europe,Director,Marketing; Data Science; Strategy,15,1,29,3,Yes,4,2,86.53,232,1,Cold
LEAD-101035,Referral,Spring2025,Australia,Intern,Leadership; Data Science,31,9,23,2,Yes,3,1,16.36,8,0,Cold
LEAD-101262,Organic,Summer2025,Asia,Intern,Machine Learning; Data Science,14,7,23,7,No,5,0,61.48,63,0,Hot
LEAD-100394,Referral,Webinar2025,North America,VP,Strategy; Machine Learning,30,8,21,8,No,0,2,69.48,276,1,Cold
LEAD-100711,Referral,Summer2025,Australia,VP,Strategy,18,0,25,8,Yes,0,2,74.79,55,1,Warm
LEAD-100162,Facebook,Summer2025,Europe,Analyst,Strategy; Leadership; Marketing,38,8,1,2,Yes,4,0,46.39,233,1,Hot
LEAD-101225,Referral,Webinar2025,Europe,Manager,Marketing; Strategy; Machine Learning,15,17,8,2,Yes,3,1,41.87,1,0,Warm
LEAD-100211,Google Ads,Summer2025,Asia,Manager,Machine Learning,34,8,3,10,No,4,2,84.9,217,1,Hot
LEAD-101144,Facebook,Webinar2025,Australia,VP,Data Science; Leadership; Machine Learning,10,8,13,4,Yes,4,0,53.15,251,0,Hot
LEAD-101902,Google Ads,Summer2025,North America,Manager,Machine Learning; Data Science,21,14,20,3,Yes,4,1,45.35,69,0,Warm
LEAD-101285,LinkedIn,Spring2025,Australia,Manager,Leadership; Data Science; Strategy,11,14,25,4,No,0,1,25.51,174,0,Warm
LEAD-101253,Google Ads,Webinar2025,Australia,Manager,Leadership,7,10,19,2,Yes,4,0,61.18,118,0,Warm
LEAD-101620,LinkedIn,Webinar2025,Asia,VP,Marketing; Data Science,25,16,29,9,No,3,1,61.82,282,0,Cold
LEAD-100596,Referral,Summer2025,Europe,VP,Strategy,35,4,3,7,No,1,3,70.45,146,1,Hot
LEAD-100868,Referral,Webinar2025,North America,VP,Machine Learning; Marketing,18,14,8,1,No,3,1,40.25,85,0,Warm
LEAD-100783,Referral,Webinar2025,Australia,VP,Data Science; Leadership,19,9,11,5,Yes,5,0,69.62,55,1,Hot
LEAD-101658,Organic,Spring2025,North America,VP,Data Science; Marketing,20,6,8,6,Yes,4,0,40.23,249,0,Cold
LEAD-100590,Organic,Spring2025,North America,VP,Leadership; Data Science,22,6,17,10,No,2,3,87.67,249,1,Hot
LEAD-101809,LinkedIn,Webinar2025,Asia,Director,Strategy; Machine Learning; Leadership,23,6,0,6,Yes,4,1,39.9,78,0,Warm
LEAD-101504,Google Ads,Spring2025,Europe,Director,Data Science,17,20,19,1,Yes,5,0,66.27,122,0,Warm
LEAD-101892,LinkedIn,Spring2025,Australia,Director,Strategy,12,5,19,6,No,0,0,51.68,32,0,Warm
LEAD-101167,Google Ads,Spring2025,North America,VP,Data Science,18,8,1,6,No,3,1,22.15,5,0,Cold
LEAD-101590,Facebook,Spring2025,Asia,Intern,Leadership; Marketing; Strategy,22,18,16,1,Yes,5,1,55.06,49,0,Hot
LEAD-100857,Google Ads,Webinar2025,Europe,Intern,Strategy; Data Science; Marketing,15,9,19,0,Yes,4,1,31.58,252,0,Warm
LEAD-101847,Facebook,Webinar2025,Australia,Analyst,Leadership; Machine Learning; Data Science,19,10,8,1,Yes,3,0,38.26,8,0,Cold
LEAD-101839,Organic,Spring2025,Australia,Director,Marketing,20,14,7,1,Yes,2,0,40.97,160,0,Cold
LEAD-101803,Referral,Spring2025,North America,Director,Leadership,21,20,20,6,Yes,0,1,28.45,53,0,Cold
LEAD-100388,Google Ads,Spring2025,North America,Intern,Leadership; Data Science; Machine Learning,31,1,10,0,No,4,1,76.87,18,1,Cold
LEAD-100056,Referral,Summer2025,Australia,Director,Marketing; Data Science; Leadership,13,8,6,3,No,2,3,103.97,234,1,Cold
LEAD-101873,LinkedIn,Spring2025,Asia,Manager,Machine Learning; Strategy,8,18,20,0,No,1,0,66.35,94,0,Warm
LEAD-100132,Referral,Webinar2025,North America,Intern,Marketing,28,2,1,5,Yes,3,2,78.4,59,1,Cold
LEAD-100802,LinkedIn,Spring2025,Australia,Director,Machine Learning; Strategy,29,10,11,5,No,0,0,41.76,133,0,Hot
LEAD-100984,Google Ads,Spring2025,Australia,Manager,Strategy; Marketing,18,20,13,0,No,4,0,34.13,131,0,Cold
LEAD-100560,Organic,Spring2025,Asia,Manager,Leadership,21,3,28,6,No,2,1,85.84,43,1,Warm
LEAD-100166,LinkedIn,Summer2025,North America,Intern,Machine Learning,32,10,17,3,Yes,0,0,62.47,275,1,Hot
LEAD-101565,Google Ads,Summer2025,North America,VP,Marketing; Leadership,26,18,18,7,Yes,2,0,59.45,164,0,Cold
LEAD-100982,Facebook,Summer2025,Europe,VP,Leadership; Marketing; Machine Learning,27,5,7,-1,Yes,4,0,63.84,32,0,Warm
LEAD-101756,Facebook,Webinar2025,Asia,Analyst,Data Science; Machine Learning; Leadership,17,7,10,1,No,1,1,71.23,210,0,Warm
LEAD-100614,Referral,Spring2025,North America,Director,Machine Learning; Data Science,21,10,15,12,No,2,0,84.44,268,1,Cold
LEAD-101205,Organic,Summer2025,Asia,Analyst,Strategy; Data Science,7,15,19,4,Yes,4,1,66.38,185,0,Cold
LEAD-101730,Referral,Summer2025,Europe,Manager,Data Science; Machine Learning; Strategy,23,12,0,8,Yes,1,1,37.56,32,0,Hot
LEAD-101533,Facebook,Webinar2025,Asia,VP,Data Science; Machine Learning,3,16,26,6,No,4,0,45.1,286,0,Cold
